"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"19181742","Parvulari Pandy de Sant Marc","#","C","Provenca","525","525","06","la Sagrada Familia","02","Eixample","08025","019","BARCELONA","41.408155","2.178837","431366.425","4584393.071","431458.365","4584594.027","933477939","Tel.","","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"19181742","Parvulari Pandy de Sant Marc","#","C","Provenca","525","525","06","la Sagrada Familia","02","Eixample","08025","019","BARCELONA","41.408155","2.178837","431366.425","4584393.071","431458.365","4584594.027","933477939","Tel.","","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"19181742","Parvulari Pandy de Sant Marc","#","C","Provenca","525","525","06","la Sagrada Familia","02","Eixample","08025","019","BARCELONA","41.408155","2.178837","431366.425","4584393.071","431458.365","4584594.027","933477939","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"19181742","Parvulari Pandy de Sant Marc","#","C","Provenca","525","525","06","la Sagrada Familia","02","Eixample","08025","019","BARCELONA","41.408155","2.178837","431366.425","4584393.071","431458.365","4584594.027","933477939","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"1081092719","Escola Ferran Sunyer","#","C","Viladomat","2","8","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.375936","2.163198","430024.733","4580828.618","430116.662","4581029.541","933248441","Fax","","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"1081092719","Escola Ferran Sunyer","#","C","Viladomat","2","8","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.375936","2.163198","430024.733","4580828.618","430116.662","4581029.541","933248441","Fax","","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"1081092719","Escola Ferran Sunyer","#","C","Viladomat","2","8","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.375936","2.163198","430024.733","4580828.618","430116.662","4581029.541","933248442","Tel.","","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"1081092719","Escola Ferran Sunyer","#","C","Viladomat","2","8","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.375936","2.163198","430024.733","4580828.618","430116.662","4581029.541","933248442","Tel.","","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"1299090907","Llar d'Infants Xiulet","#","C","Entenca","100","100","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.380279","2.149985","428924.543","4581321.563","429016.462","4581522.49","934234448","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"1299090907","Llar d'Infants Xiulet","#","C","Entenca","100","100","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.380279","2.149985","428924.543","4581321.563","429016.462","4581522.49","934234448","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"2093120653","Escola Bressol Municipal Portal Nou","#","C","Portal Nou","2","2","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388267","2.180724","431503.269","4582183.593","431595.211","4582384.529","933101807","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"2093120653","Escola Bressol Municipal Portal Nou","#","C","Portal Nou","2","2","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388267","2.180724","431503.269","4582183.593","431595.211","4582384.529","933101807","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"2093120653","Escola Bressol Municipal Portal Nou","#","C","Portal Nou","2","2","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388267","2.180724","431503.269","4582183.593","431595.211","4582384.529","933101807","Tel.","","","","","","","","","Escoles bressol municipals","Planol",
"2093120653","Escola Bressol Municipal Portal Nou","#","C","Portal Nou","2","2","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388267","2.180724","431503.269","4582183.593","431595.211","4582384.529","933101807","Tel.","","","","","","","","Escoles Bressol municipals","Ensenyament infantil","Educacio",
"2093120848","Escola Bressol Municipal Els Tres Tombs","#","C","Manso","28","28","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376275","2.16082","429826.218","4580868.211","429918.145","4581069.134","933250913","Tel.","","","","","","","","Escoles Bressol municipals","Ensenyament infantil","Educacio",
"2093120848","Escola Bressol Municipal Els Tres Tombs","#","C","Manso","28","28","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376275","2.16082","429826.218","4580868.211","429918.145","4581069.134","933250913","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"2093120848","Escola Bressol Municipal Els Tres Tombs","#","C","Manso","28","28","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376275","2.16082","429826.218","4580868.211","429918.145","4581069.134","933250913","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"2093120848","Escola Bressol Municipal Els Tres Tombs","#","C","Manso","28","28","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376275","2.16082","429826.218","4580868.211","429918.145","4581069.134","933250913","Tel.","","","","","","","","","Escoles bressol municipals","Planol",
"2093121443","Escola Bressol Municipal L'Oreneta","#","Pg","Santa Eulalia","18","18","23","Sarria","05","Sarria-Sant Gervasi","08017","019","BARCELONA","41.405268","2.115342","426056.136","4584124.79","426148.028","4584325.742","932804683","Tel.","","","","","","","","","Escoles bressol municipals","Planol",
"2093121443","Escola Bressol Municipal L'Oreneta","#","Pg","Santa Eulalia","18","18","23","Sarria","05","Sarria-Sant Gervasi","08017","019","BARCELONA","41.405268","2.115342","426056.136","4584124.79","426148.028","4584325.742","932804683","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"2093121443","Escola Bressol Municipal L'Oreneta","#","Pg","Santa Eulalia","18","18","23","Sarria","05","Sarria-Sant Gervasi","08017","019","BARCELONA","41.405268","2.115342","426056.136","4584124.79","426148.028","4584325.742","932804683","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"2093121443","Escola Bressol Municipal L'Oreneta","#","Pg","Santa Eulalia","18","18","23","Sarria","05","Sarria-Sant Gervasi","08017","019","BARCELONA","41.405268","2.115342","426056.136","4584124.79","426148.028","4584325.742","932804683","Tel.","","","","","","","","Escoles Bressol municipals","Ensenyament infantil","Educacio",
"2093122108","Escola Bressol Municipal Ciutat de Mallorca","#","C","Deia","12","12","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.43294","2.177675","431295.428","4587145.624","431387.367","4587346.606","933593854","Tel.","","","","","","","","","Escoles bressol municipals","Planol",
"2093122108","Escola Bressol Municipal Ciutat de Mallorca","#","C","Deia","12","12","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.43294","2.177675","431295.428","4587145.624","431387.367","4587346.606","933593854","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"2093122108","Escola Bressol Municipal Ciutat de Mallorca","#","C","Deia","12","12","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.43294","2.177675","431295.428","4587145.624","431387.367","4587346.606","933593854","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"2093122108","Escola Bressol Municipal Ciutat de Mallorca","#","C","Deia","12","12","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.43294","2.177675","431295.428","4587145.624","431387.367","4587346.606","933593854","Tel.","","","","","","","","Escoles Bressol municipals","Ensenyament infantil","Educacio",
"2093122837","Escola Bressol Municipal L'Arquet","#","C","Jorge Manrique","12","12","41","la Vall d'Hebron","07","Horta-Guinardo","08035","019","BARCELONA","41.43153","2.151592","429114.697","4587010.105","429206.616","4587211.085","934272798","Tel.","","","","","","","","","Escoles bressol municipals","Planol",
"2093122837","Escola Bressol Municipal L'Arquet","#","C","Jorge Manrique","12","12","41","la Vall d'Hebron","07","Horta-Guinardo","08035","019","BARCELONA","41.43153","2.151592","429114.697","4587010.105","429206.616","4587211.085","934272798","Tel.","","","","","","","","Escoles Bressol municipals","Ensenyament infantil","Educacio",
"2093122837","Escola Bressol Municipal L'Arquet","#","C","Jorge Manrique","12","12","41","la Vall d'Hebron","07","Horta-Guinardo","08035","019","BARCELONA","41.43153","2.151592","429114.697","4587010.105","429206.616","4587211.085","934272798","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"2093122837","Escola Bressol Municipal L'Arquet","#","C","Jorge Manrique","12","12","41","la Vall d'Hebron","07","Horta-Guinardo","08035","019","BARCELONA","41.43153","2.151592","429114.697","4587010.105","429206.616","4587211.085","934272798","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"2093122931","Escola Bressol Municipal El Caminet del Besos","#","C","Quito","2","2","58","Baro de Viver","09","Sant Andreu","08030","019","BARCELONA","41.445804","2.19973","433151.319","4588556.479","433243.275","4588757.475","933116686","Tel.","","","","","","","","","Escoles bressol municipals","Planol",
"2093122931","Escola Bressol Municipal El Caminet del Besos","#","C","Quito","2","2","58","Baro de Viver","09","Sant Andreu","08030","019","BARCELONA","41.445804","2.19973","433151.319","4588556.479","433243.275","4588757.475","933116686","Tel.","","","","","","","","Escoles Bressol municipals","Ensenyament infantil","Educacio",
"2093122931","Escola Bressol Municipal El Caminet del Besos","#","C","Quito","2","2","58","Baro de Viver","09","Sant Andreu","08030","019","BARCELONA","41.445804","2.19973","433151.319","4588556.479","433243.275","4588757.475","933116686","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"2093122931","Escola Bressol Municipal El Caminet del Besos","#","C","Quito","2","2","58","Baro de Viver","09","Sant Andreu","08030","019","BARCELONA","41.445804","2.19973","433151.319","4588556.479","433243.275","4588757.475","933116686","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"2093123310","Escola Bressol Municipal El Xalet de la Paperera","#","Pl","Julio González","14","14","68","el Poblenou","10","Sant Marti","08005","019","BARCELONA","41.400987","2.206947","433708.652","4583575.363","433800.614","4583776.313","932214100","Tel.","","","","","","","","","Escoles bressol municipals","Planol",
"2093123310","Escola Bressol Municipal El Xalet de la Paperera","#","Pl","Julio González","14","14","68","el Poblenou","10","Sant Marti","08005","019","BARCELONA","41.400987","2.206947","433708.652","4583575.363","433800.614","4583776.313","932214100","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"2093123310","Escola Bressol Municipal El Xalet de la Paperera","#","Pl","Julio González","14","14","68","el Poblenou","10","Sant Marti","08005","019","BARCELONA","41.400987","2.206947","433708.652","4583575.363","433800.614","4583776.313","932214100","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"2093123310","Escola Bressol Municipal El Xalet de la Paperera","#","Pl","Julio González","14","14","68","el Poblenou","10","Sant Marti","08005","019","BARCELONA","41.400987","2.206947","433708.652","4583575.363","433800.614","4583776.313","932214100","Tel.","","","","","","","","Escoles Bressol municipals","Ensenyament infantil","Educacio",
"2093123421","Escola Bressol Municipal La Mar Xica","#","C","Carmen Amaya","2","2","68","el Poblenou","10","Sant Marti","08005","019","BARCELONA","41.395054","2.203674","433428.976","4582919.277","433520.936","4583120.22","932211969","Tel.","","","","","","","","Escoles Bressol municipals","Ensenyament infantil","Educacio",
"2093123421","Escola Bressol Municipal La Mar Xica","#","C","Carmen Amaya","2","2","68","el Poblenou","10","Sant Marti","08005","019","BARCELONA","41.395054","2.203674","433428.976","4582919.277","433520.936","4583120.22","932211969","Tel.","","","","","","","","","Escoles bressol municipals","Planol",
"2093123421","Escola Bressol Municipal La Mar Xica","#","C","Carmen Amaya","2","2","68","el Poblenou","10","Sant Marti","08005","019","BARCELONA","41.395054","2.203674","433428.976","4582919.277","433520.936","4583120.22","932211969","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"2093123421","Escola Bressol Municipal La Mar Xica","#","C","Carmen Amaya","2","2","68","el Poblenou","10","Sant Marti","08005","019","BARCELONA","41.395054","2.203674","433428.976","4582919.277","433520.936","4583120.22","932211969","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"75990000997","Llar d'Infants Alfa","#","Ptge","Esperanca","7","7","44","Vilapicina i la Torre Llobeta","08","Nou Barris","08016","019","BARCELONA","41.429098","2.176855","431222.835","4586719.664","431314.773","4586920.642","933527406","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"75990000997","Llar d'Infants Alfa","#","Ptge","Esperanca","7","7","44","Vilapicina i la Torre Llobeta","08","Nou Barris","08016","019","BARCELONA","41.429098","2.176855","431222.835","4586719.664","431314.773","4586920.642","933527406","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"75990008599","Centre Educatiu IPSI","#","C","Comte Borrell","243","249","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.386861","2.149925","428926.735","4582052.31","429018.654","4582253.244","934449000","Tel.","","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990008599","Centre Educatiu IPSI","#","C","Comte Borrell","243","249","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.386861","2.149925","428926.735","4582052.31","429018.654","4582253.244","934449000","Tel.","","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990012256","Llar d'Infants Donald *Acacies","#","C","Acacies","9","11","62","el Congres i els Indians","09","Sant Andreu","08027","019","BARCELONA","41.424226","2.178163","431327.04","4586177.737","431418.98","4586378.71","933401476","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"75990012256","Llar d'Infants Donald *Acacies","#","C","Acacies","9","11","62","el Congres i els Indians","09","Sant Andreu","08027","019","BARCELONA","41.424226","2.178163","431327.04","4586177.737","431418.98","4586378.71","933401476","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","932153932","Tel.","(c. Arago)","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","934873693","Fax","(c. Pau Claris)","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Arago","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","932153932","Tel.","(c. Arago)","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Arago","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","932159900","Tel.","(c. Pau Claris)","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Arago","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","932153932","Tel.","(c. Arago)","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Arago","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","934873693","Fax","(c. Pau Claris)","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Arago","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","934873693","Fax","(c. Pau Claris)","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","934875479","Fax","(c. Arago)","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Arago","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","934875479","Fax","(c. Arago)","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","932159900","Tel.","(c. Pau Claris)","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","932153932","Tel.","(c. Arago)","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Arago","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","932159900","Tel.","(c. Pau Claris)","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","934873693","Fax","(c. Pau Claris)","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","932159900","Tel.","(c. Pau Claris)","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","934875479","Fax","(c. Arago)","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990016466","Centre Educatiu Lestonnac","#","C","Arago","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","934875479","Fax","(c. Arago)","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuic","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934224640","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuic","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934223515","Fax","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuic","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934224640","Tel.","","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuic","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934224640","Tel.","","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuic","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934223515","Fax","","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuic","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934223515","Fax","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuic","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934223515","Fax","","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuic","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934224640","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"75990025727","Centre Educatiu Sant Gregori","#","C","Carles Riba","11","15","25","Sant Gervasi - la Bonanova","05","Sarria-Sant Gervasi","08035","019","BARCELONA","41.412448","2.1252","426888.131","4584913.557","426980.03","4585114.517","932123998","Tel.","(edifici Arimon)","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"75990025727","Centre Educatiu Sant Gregori","#","C","Carles Riba","11","15","25","Sant Gervasi - la Bonanova","05","Sarria-Sant Gervasi","08035","019","BARCELONA","41.412448","2.1252","426888.131","4584913.557","426980.03","4585114.517","932123998","Tel.","(edifici Arimon)","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"75990025727","Centre Educatiu Sant Gregori","#","C","Carles Riba","11","15","25","Sant Gervasi - la Bonanova","05","Sarria-Sant Gervasi","08035","019","BARCELONA","41.412448","2.1252","426888.131","4584913.557","426980.03","4585114.517","932123108","Tel.","","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"75990025727","Centre Educatiu Sant Gregori","#","C","Carles Riba","11","15","25","Sant Gervasi - la Bonanova","05","Sarria-Sant Gervasi","08035","019","BARCELONA","41.412448","2.1252","426888.131","4584913.557","426980.03","4585114.517","932123108","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"75990025727","Centre Educatiu Sant Gregori","#","C","Arimon","17","17","25","Sant Gervasi - la Bonanova","05","Sarria-Sant Gervasi","08022","019","BARCELONA","41.404388","2.137031","427868.028","4584008.84","427959.936","4584209.792","932123108","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"75990025727","Centre Educatiu Sant Gregori","#","C","Arimon","17","17","25","Sant Gervasi - la Bonanova","05","Sarria-Sant Gervasi","08022","019","BARCELONA","41.404388","2.137031","427868.028","4584008.84","427959.936","4584209.792","932123998","Tel.","(edifici Arimon)","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
